DropGroupID,StageID,GroupType,Gold,Exp,ItemID,Amount,DropRate
DROP_CH01_ST08_CLEAR_REPEAT,CH01_ST08,STAGE_CLEAR_REPEAT,400,90,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST09_CLEAR_FIRST,CH01_ST09,STAGE_CLEAR_FIRST,750,300,GEN_EQUIP_D_C,1,1
DROP_CH01_ST09_CLEAR_FIRST,CH01_ST09,STAGE_CLEAR_FIRST,750,300,GEN_EQUIP_D_C,1,1
DROP_CH01_ST09_CLEAR_FIRST,CH01_ST09,STAGE_CLEAR_FIRST,750,300,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST09_CLEAR_REPEAT,CH01_ST09,STAGE_CLEAR_REPEAT,450,100,GEN_EQUIP_D_C,1,1
DROP_CH01_ST09_CLEAR_REPEAT,CH01_ST09,STAGE_CLEAR_REPEAT,450,100,GEN_EQUIP_D_C,1,1
DROP_CH01_ST09_CLEAR_REPEAT,CH01_ST09,STAGE_CLEAR_REPEAT,450,100,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST10_CLEAR_FIRST,CH01_ST10,STAGE_CLEAR_FIRST,1000,350,GEN_EQUIP_D_C,1,1
DROP_CH01_ST10_CLEAR_FIRST,CH01_ST10,STAGE_CLEAR_FIRST,1000,350,GEN_EQUIP_D_C,1,1
DROP_CH01_ST10_CLEAR_FIRST,CH01_ST10,STAGE_CLEAR_FIRST,1000,350,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
DROP_CH01_ST10_CLEAR_REPEAT,CH01_ST10,STAGE_CLEAR_REPEAT,500,110,GEN_EQUIP_C_B,1,1
DROP_CH01_ST10_CLEAR_REPEAT,CH01_ST10,STAGE_CLEAR_REPEAT,500,110,GEN_EQUIP_C_B,1,1
DROP_CH01_ST10_CLEAR_REPEAT,CH01_ST10,STAGE_CLEAR_REPEAT,500,110,RUNE_FRAG_RUNE_AREA_DEFENDER,1,1
