SkillID,Level,RequireSP,Value1,Value2,DescriptionNote
SKILL_SHADOW_TRACKER,5,2,0.3,0.3,"5레벨 MoveSpeed +30%, 보조 스탯 +30% (마스터)"
SKILL_RAPIDMIRAGE,1,1,2.5,14.5,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_RAPIDMIRAGE,2,1,3,14,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_RAPIDMIRAGE,3,1,3.5,13.5,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_RAPIDMIRAGE,4,1,4,13,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_RAPIDMIRAGE,5,2,4.5,12.5,5레벨 데미지 450% / 쿨타임 12.5초 (마스터)
SKILL_HAWKSEYE,1,1,0.05,0,1레벨 CritRate% (치명타 확률 증가) +5%
SKILL_HAWKSEYE,2,1,0.1,0,2레벨 CritRate% (치명타 확률 증가) +10%
SKILL_HAWKSEYE,3,1,0.15,0,3레벨 CritRate% (치명타 확률 증가) +15%
SKILL_HAWKSEYE,4,1,0.2,0,4레벨 CritRate% (치명타 확률 증가) +20%
SKILL_HAWKSEYE,5,2,0.3,0,5레벨 CritRate% (치명타 확률 증가) +30% (마스터)
SKILL_CRESTOFTHEKINGDOM,1,1,100,100,"1레벨 DEF (방어력 Flat 증가) +100, 보조 스탯 +100"
SKILL_CRESTOFTHEKINGDOM,2,1,200,200,"2레벨 DEF (방어력 Flat 증가) +200, 보조 스탯 +200"
SKILL_CRESTOFTHEKINGDOM,3,1,300,300,"3레벨 DEF (방어력 Flat 증가) +300, 보조 스탯 +300"
SKILL_CRESTOFTHEKINGDOM,4,1,400,400,"4레벨 DEF (방어력 Flat 증가) +400, 보조 스탯 +400"
SKILL_CRESTOFTHEKINGDOM,5,2,600,600,"5레벨 DEF (방어력 Flat 증가) +600, 보조 스탯 +600 (마스터)"
SKILL_PIERCIN_GGALE,1,1,1.3,9.5,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_PIERCIN_GGALE,2,1,1.6,9,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_PIERCIN_GGALE,3,1,1.9,8.5,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_PIERCIN_GGALE,4,1,2.2,8,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_PIERCIN_GGALE,5,2,2.5,7.5,5레벨 데미지 250% / 쿨타임 7.5초 (마스터)
SKILL_RIFTOFTIME,1,1,0.05,0,1레벨 CooldownReduction (쿨타임 감소) +5%
SKILL_RIFTOFTIME,2,1,0.1,0,2레벨 CooldownReduction (쿨타임 감소) +10%
SKILL_RIFTOFTIME,3,1,0.15,0,3레벨 CooldownReduction (쿨타임 감소) +15%
SKILL_RIFTOFTIME,4,1,0.2,0,4레벨 CooldownReduction (쿨타임 감소) +20%
SKILL_RIFTOFTIME,5,2,0.3,0,5레벨 CooldownReduction (쿨타임 감소) +30% (마스터)
SKILL_JUDGMENTWEDGE,1,1,0.05,0,1레벨 CritDmg% (치명타 피해 증가) +5%
SKILL_JUDGMENTWEDGE,2,1,0.1,0,2레벨 CritDmg% (치명타 피해 증가) +10%
SKILL_JUDGMENTWEDGE,3,1,0.15,0,3레벨 CritDmg% (치명타 피해 증가) +15%
SKILL_JUDGMENTWEDGE,4,1,0.2,0,4레벨 CritDmg% (치명타 피해 증가) +20%
SKILL_JUDGMENTWEDGE,5,2,0.3,0,5레벨 CritDmg% (치명타 피해 증가) +30% (마스터)
SKILL_SNIPERMARK,1,1,2.5,14.5,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_SNIPERMARK,2,1,3,14,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_SNIPERMARK,3,1,3.5,13.5,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_SNIPERMARK,4,1,4,13,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_SNIPERMARK,5,2,4.5,12.5,5레벨 데미지 450% / 쿨타임 12.5초 (마스터)
SKILL_INDOMITABLE_WILL,1,1,100,100,"1레벨 HP +100, 보조 스탯 +100"
SKILL_INDOMITABLE_WILL,2,1,200,200,"2레벨 HP +200, 보조 스탯 +200"
SKILL_INDOMITABLE_WILL,3,1,300,300,"3레벨 HP +300, 보조 스탯 +300"
SKILL_INDOMITABLE_WILL,4,1,400,400,"4레벨 HP +400, 보조 스탯 +400"
SKILL_INDOMITABLE_WILL,5,2,600,600,"5레벨 HP +600, 보조 스탯 +600 (마스터)"
SKILL_EXPLOSIVE_VAULT,1,1,1.3,9.5,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_EXPLOSIVE_VAULT,2,1,1.6,9,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_EXPLOSIVE_VAULT,3,1,1.9,8.5,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_EXPLOSIVE_VAULT,4,1,2.2,8,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_EXPLOSIVE_VAULT,5,2,2.5,7.5,5레벨 데미지 250% / 쿨타임 7.5초 (마스터)
SKILL_MACHINE_BREAKER,1,1,0.05,0.05,"1레벨 ATK% +5%, 보조 스탯 +5%"
SKILL_MACHINE_BREAKER,2,1,0.1,0.1,"2레벨 ATK% +10%, 보조 스탯 +10%"
SKILL_MACHINE_BREAKER,3,1,0.15,0.15,"3레벨 ATK% +15%, 보조 스탯 +15%"
SKILL_MACHINE_BREAKER,4,1,0.2,0.2,"4레벨 ATK% +20%, 보조 스탯 +20%"
SKILL_MACHINE_BREAKER,5,2,0.3,0.3,"5레벨 ATK% +30%, 보조 스탯 +30% (마스터)"
SKILL_SPIRITKINGSARROW,1,1,2.5,14.5,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_SPIRITKINGSARROW,2,1,3,14,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_SPIRITKINGSARROW,3,1,3.5,13.5,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_SPIRITKINGSARROW,4,1,4,13,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_SPIRITKINGSARROW,5,2,4.5,12.5,5레벨 데미지 450% / 쿨타임 12.5초 (마스터)
SKILL_WINDSEDGE,1,1,0.05,0,1레벨 ASPD (공격속도 증가) +5%
SKILL_WINDSEDGE,2,1,0.1,0,2레벨 ASPD (공격속도 증가) +10%
SKILL_WINDSEDGE,3,1,0.15,0,3레벨 ASPD (공격속도 증가) +15%
SKILL_WINDSEDGE,4,1,0.2,0,4레벨 ASPD (공격속도 증가) +20%
SKILL_WINDSEDGE,5,2,0.3,0,5레벨 ASPD (공격속도 증가) +30% (마스터)
SKILL_STEPSOFLIGHT,1,1,0.05,0,1레벨 MoveSpeed (이동속도 증가) +5%
SKILL_STEPSOFLIGHT,2,1,0.1,0,2레벨 MoveSpeed (이동속도 증가) +10%
SKILL_STEPSOFLIGHT,3,1,0.15,0,3레벨 MoveSpeed (이동속도 증가) +15%
SKILL_STEPSOFLIGHT,4,1,0.2,0,4레벨 MoveSpeed (이동속도 증가) +20%
SKILL_STEPSOFLIGHT,5,2,0.3,0,5레벨 MoveSpeed (이동속도 증가) +30% (마스터)
SKILL_MANA_CONCENTRATION,1,1,0.1,0,1레벨 CooldownReduction (쿨타임 대폭 감소) +10%
SKILL_MANA_CONCENTRATION,2,1,0.2,0,2레벨 CooldownReduction (쿨타임 대폭 감소) +20%
SKILL_MANA_CONCENTRATION,3,1,0.3,0,3레벨 CooldownReduction (쿨타임 대폭 감소) +30%
SKILL_MANA_CONCENTRATION,4,1,0.4,0,4레벨 CooldownReduction (쿨타임 대폭 감소) +40%
SKILL_MANA_CONCENTRATION,5,2,0.6,0,5레벨 CooldownReduction (쿨타임 대폭 감소) +60% (마스터)
