Level,TargetDPS,MonsterHP_5s,BossHP_60s,BaseDPS,EquipBaseDPS,EnhanceDPS,SkillDPS,RuneDPS
40,769.3234747758,3846.6173738792,46159.4084865508,153.8646949552,192.330868694,153.8646949552,153.8646949552,115.3985212164
41,844.7963630308,4223.9818151542,50687.7817818498,168.9592726062,211.1990907577,168.9592726062,168.9592726062,126.7194544546
42,927.673362883,4638.3668144148,55660.4017729778,185.5346725766,231.9183407207,185.5346725766,185.5346725766,139.1510044324
43,1018.6808393861,5093.4041969306,61120.8503631672,203.7361678772,254.6702098465,203.7361678772,203.7361678772,152.8021259079
44,1118.6164161354,5593.082080677,67116.9849681237,223.7232832271,279.6541040338,223.7232832271,223.7232832271,167.7924624203
45,1228.3559659389,6141.7798296945,73701.3579563344,245.6711931878,307.0889914847,245.6711931878,245.6711931878,184.2533948908
46,1348.861287295,6744.306436475,80931.6772376998,269.772257459,337.2153218237,269.772257459,269.772257459,202.3291930942
47,1481.1885339543,7405.9426697717,88871.3120372604,296.2377067909,370.2971334886,296.2377067909,296.2377067909,222.1782800932
48,1626.4974714468,8132.4873572341,97589.8482868089,325.2994942894,406.6243678617,325.2994942894,325.2994942894,243.974620717
49,1786.0616417008,8930.308208504,107163.698502048,357.2123283402,446.5154104252,357.2123283402,357.2123283402,267.9092462551
50,1961.2795248414,9806.397624207,117676.771490484,392.2559049683,490.3198812103,392.2559049683,392.2559049683,294.1919287262
51,2153.6867959938,10768.4339799692,129221.207759631,430.7373591988,538.4216989985,430.7373591988,430.7373591988,323.0530193991
52,2364.9697845152,11824.848922576,141898.187070912,472.993956903,591.2424461288,472.993956903,472.993956903,354.7454676773
53,2596.9802536162,12984.9012680808,155818.815216969,519.3960507232,649.245063404,519.3960507232,519.3960507232,389.5470380424
54,2851.7516299071,14258.7581495354,171105.097794425,570.3503259814,712.9379074768,570.3503259814,570.3503259814,427.7627444861
55,3131.5168251101,15657.5841255506,187891.009506607,626.303365022,782.8792062775,626.303365022,626.303365022,469.7275237665
56,3438.7278061334,17193.6390306671,206323.668368005,687.7455612267,859.6819515334,687.7455612267,687.7455612267,515.80917092
57,3776.0770850271,18880.3854251354,226564.625101625,755.2154170054,944.0192712568,755.2154170054,755.2154170054,566.4115627541
58,4146.5213171669,20732.6065858343,248791.279030012,829.3042634334,1036.6303292917,829.3042634334,829.3042634334,621.978197575
59,4553.3072144887,22766.5360724435,273198.432869321,910.6614428977,1138.3268036222,910.6614428977,910.6614428977,682.9960821733
60,5000.,25000.,300000.,1000.,1250.,1000.,1000.,750.
