SkillID,Level,RequireSP,StatType1,Value1,StatType2,Value2,DescriptionNote
SKILL_SPRIT_RESONANCE,4,1,ATK_PERCENT,1.2,None,0,4레벨 공격력 +20%
SKILL_SPRIT_RESONANCE,5,1,ATK_PERCENT,1.3,None,0,5레벨 공격력 +30%
SKILL_SPRIT_RESONANCE,6,1,ATK_PERCENT,1.35,None,0,6레벨 공격력 +35%
SKILL_SPRIT_RESONANCE,7,1,ATK_PERCENT,1.4,None,0,7레벨 공격력 +40%
SKILL_SPRIT_RESONANCE,8,1,ATK_PERCENT,1.45,None,0,8레벨 공격력 +45%
SKILL_SPRIT_RESONANCE,9,1,ATK_PERCENT,1.5,None,0,9레벨 공격력 +50%
SKILL_SPRIT_RESONANCE,10,2,ATK_PERCENT,1.6,None,0,10레벨 공격력 +60% (마스터)
SKILL_ARROW_RAIN,1,1,DMG_MULT,1.15,COOLDOWN,6,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_ARROW_RAIN,2,1,DMG_MULT,1.25,COOLDOWN,5.6,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_ARROW_RAIN,3,1,DMG_MULT,1.35,COOLDOWN,5.3,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_ARROW_RAIN,4,1,DMG_MULT,1.45,COOLDOWN,5,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_ARROW_RAIN,5,1,DMG_MULT,1.55,COOLDOWN,4.6,5레벨 데미지 250% / 쿨타임 7.5초
SKILL_ARROW_RAIN,6,1,DMG_MULT,1.65,COOLDOWN,4.3,6레벨 데미지 280% / 쿨타임 7.0초
SKILL_ARROW_RAIN,7,1,DMG_MULT,1.8,COOLDOWN,4,7레벨 데미지 310% / 쿨타임 6.5초
SKILL_ARROW_RAIN,8,1,DMG_MULT,1.95,COOLDOWN,3.6,8레벨 데미지 340% / 쿨타임 6.0초
SKILL_ARROW_RAIN,9,1,DMG_MULT,2.1,COOLDOWN,3.3,9레벨 데미지 370% / 쿨타임 5.5초
SKILL_ARROW_RAIN,10,2,DMG_MULT,2.3,COOLDOWN,3,10레벨 데미지 400% / 쿨타임 5.0초 (마스터)
SKILL_EARTH_BLESSING,1,1,HP_FLAT,100,None,0,1레벨 최대체력 +100
SKILL_EARTH_BLESSING,2,1,HP_FLAT,200,None,0,2레벨 최대체력 +200
SKILL_EARTH_BLESSING,3,1,HP_FLAT,300,None,0,3레벨 최대체력 +300
SKILL_EARTH_BLESSING,4,1,HP_FLAT,400,None,0,4레벨 최대체력 +400
SKILL_EARTH_BLESSING,5,1,HP_FLAT,600,None,0,5레벨 최대체력 +600
SKILL_EARTH_BLESSING,6,1,HP_FLAT,700,None,0,6레벨 최대체력 +700
SKILL_EARTH_BLESSING,7,1,HP_FLAT,800,None,0,7레벨 최대체력 +800
SKILL_EARTH_BLESSING,8,1,HP_FLAT,900,None,0,8레벨 최대체력 +900
SKILL_EARTH_BLESSING,9,1,HP_FLAT,1000,None,0,9레벨 최대체력 +1000
SKILL_EARTH_BLESSING,10,2,HP_FLAT,1200,None,0,10레벨 최대체력 +1200 (마스터)
SKILL_SHADOW_TRACKER,1,1,MOVE_SPEED,0.05,DODGE_CHANCE,0.05,1레벨 이동속도 +5% / 회피확률 +5%
SKILL_SHADOW_TRACKER,2,1,MOVE_SPEED,0.1,DODGE_CHANCE,0.1,2레벨 이동속도 +10% / 회피확률 +10%
SKILL_SHADOW_TRACKER,3,1,MOVE_SPEED,0.15,DODGE_CHANCE,0.15,3레벨 이동속도 +15% / 회피확률 +15%
SKILL_SHADOW_TRACKER,4,1,MOVE_SPEED,0.2,DODGE_CHANCE,0.2,4레벨 이동속도 +20% / 회피확률 +20%
SKILL_SHADOW_TRACKER,5,1,MOVE_SPEED,0.3,DODGE_CHANCE,0.3,5레벨 이동속도 +30% / 회피확률 +30%
SKILL_SHADOW_TRACKER,6,1,MOVE_SPEED,0.35,DODGE_CHANCE,0.35,6레벨 이동속도 +35% / 회피확률 +35%
SKILL_SHADOW_TRACKER,7,1,MOVE_SPEED,0.4,DODGE_CHANCE,0.4,7레벨 이동속도 +40% / 회피확률 +40%
SKILL_SHADOW_TRACKER,8,1,MOVE_SPEED,0.45,DODGE_CHANCE,0.45,8레벨 이동속도 +45% / 회피확률 +45%
SKILL_SHADOW_TRACKER,9,1,MOVE_SPEED,0.5,DODGE_CHANCE,0.5,9레벨 이동속도 +50% / 회피확률 +50%
SKILL_SHADOW_TRACKER,10,2,MOVE_SPEED,0.6,DODGE_CHANCE,0.5,10레벨 이동속도 +60% / 회피확률 +50%(캡) (마스터)
SKILL_RAPIDMIRAGE,1,1,DMG_MULT,1.2,COOLDOWN,8,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_RAPIDMIRAGE,2,1,DMG_MULT,1.3,COOLDOWN,7.6,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_RAPIDMIRAGE,3,1,DMG_MULT,1.4,COOLDOWN,7.3,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_RAPIDMIRAGE,4,1,DMG_MULT,1.5,COOLDOWN,7,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_RAPIDMIRAGE,5,1,DMG_MULT,1.7,COOLDOWN,6.6,5레벨 데미지 450% / 쿨타임 12.5초
SKILL_RAPIDMIRAGE,6,1,DMG_MULT,1.9,COOLDOWN,6.3,6레벨 데미지 500% / 쿨타임 12.0초
SKILL_RAPIDMIRAGE,7,1,DMG_MULT,2.1,COOLDOWN,6,7레벨 데미지 550% / 쿨타임 11.5초
SKILL_RAPIDMIRAGE,8,1,DMG_MULT,2.3,COOLDOWN,5.6,8레벨 데미지 600% / 쿨타임 11.0초
SKILL_RAPIDMIRAGE,9,1,DMG_MULT,2.5,COOLDOWN,5.3,9레벨 데미지 650% / 쿨타임 10.5초
SKILL_RAPIDMIRAGE,10,2,DMG_MULT,2.8,COOLDOWN,5,10레벨 데미지 700% / 쿨타임 10.0초 (마스터)
SKILL_HAWKSEYE,1,1,CRIT_RATE,0.05,None,0,1레벨 치명타 확률 +5%
SKILL_HAWKSEYE,2,1,CRIT_RATE,0.1,None,0,2레벨 치명타 확률 +10%
SKILL_HAWKSEYE,3,1,CRIT_RATE,0.15,None,0,3레벨 치명타 확률 +15%
SKILL_HAWKSEYE,4,1,CRIT_RATE,0.2,None,0,4레벨 치명타 확률 +20%
SKILL_HAWKSEYE,5,1,CRIT_RATE,0.3,None,0,5레벨 치명타 확률 +30%
SKILL_HAWKSEYE,6,1,CRIT_RATE,0.35,None,0,6레벨 치명타 확률 +35%
SKILL_HAWKSEYE,7,1,CRIT_RATE,0.4,None,0,7레벨 치명타 확률 +40%
SKILL_HAWKSEYE,8,1,CRIT_RATE,0.45,None,0,8레벨 치명타 확률 +45%
SKILL_HAWKSEYE,9,1,CRIT_RATE,0.5,None,0,9레벨 치명타 확률 +50%
SKILL_HAWKSEYE,10,2,CRIT_RATE,0.6,None,0,10레벨 치명타 확률 +60% (마스터)
SKILL_CREST_KINGDOM,1,1,DEF_FLAT,100,STATUS_RESIST_ALL,0.05,1레벨 방어력 +100 / 상태이상 저항 +5%
SKILL_CREST_KINGDOM,2,1,DEF_FLAT,200,STATUS_RESIST_ALL,0.1,2레벨 방어력 +200 / 상태이상 저항 +10%
SKILL_CREST_KINGDOM,3,1,DEF_FLAT,300,STATUS_RESIST_ALL,0.15,3레벨 방어력 +300 / 상태이상 저항 +15%
SKILL_CREST_KINGDOM,4,1,DEF_FLAT,400,STATUS_RESIST_ALL,0.2,4레벨 방어력 +400 / 상태이상 저항 +20%
SKILL_CREST_KINGDOM,5,1,DEF_FLAT,600,STATUS_RESIST_ALL,0.3,5레벨 방어력 +600 / 상태이상 저항 +30%
SKILL_CREST_KINGDOM,6,1,DEF_FLAT,700,STATUS_RESIST_ALL,0.35,6레벨 방어력 +700 / 상태이상 저항 +35%
SKILL_CREST_KINGDOM,7,1,DEF_FLAT,800,STATUS_RESIST_ALL,0.4,7레벨 방어력 +800 / 상태이상 저항 +40%
SKILL_CREST_KINGDOM,8,1,DEF_FLAT,900,STATUS_RESIST_ALL,0.45,8레벨 방어력 +900 / 상태이상 저항 +45%
SKILL_CREST_KINGDOM,9,1,DEF_FLAT,1000,STATUS_RESIST_ALL,0.5,9레벨 방어력 +1000 / 상태이상 저항 +50%
SKILL_CREST_KINGDOM,10,2,DEF_FLAT,1200,STATUS_RESIST_ALL,0.5,10레벨 방어력 +1200 / 상태이상 저항 +50%(캡) (마스터)
SKILL_PIERCIN_GGALE,1,1,DMG_MULT,1.2,COOLDOWN,6,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_PIERCIN_GGALE,2,1,DMG_MULT,1.3,COOLDOWN,5.6,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_PIERCIN_GGALE,3,1,DMG_MULT,1.4,COOLDOWN,5.3,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_PIERCIN_GGALE,4,1,DMG_MULT,1.5,COOLDOWN,5,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_PIERCIN_GGALE,5,1,DMG_MULT,1.7,COOLDOWN,4.6,5레벨 데미지 250% / 쿨타임 7.5초
SKILL_PIERCIN_GGALE,6,1,DMG_MULT,1.9,COOLDOWN,4.3,6레벨 데미지 280% / 쿨타임 7.0초
SKILL_PIERCIN_GGALE,7,1,DMG_MULT,2.1,COOLDOWN,4,7레벨 데미지 310% / 쿨타임 6.5초
SKILL_PIERCIN_GGALE,8,1,DMG_MULT,2.3,COOLDOWN,3.6,8레벨 데미지 340% / 쿨타임 6.0초
SKILL_PIERCIN_GGALE,9,1,DMG_MULT,2.5,COOLDOWN,3.3,9레벨 데미지 370% / 쿨타임 5.5초
SKILL_PIERCIN_GGALE,10,2,DMG_MULT,2.8,COOLDOWN,3,10레벨 데미지 400% / 쿨타임 5.0초 (마스터)
SKILL_RIFT_TIME,1,1,COOLDOWN_REDUCTION,0.05,None,0,1레벨 쿨타임 감소 +5%
SKILL_RIFT_TIME,2,1,COOLDOWN_REDUCTION,0.1,None,0,2레벨 쿨타임 감소 +10%
SKILL_RIFT_TIME,3,1,COOLDOWN_REDUCTION,0.15,None,0,3레벨 쿨타임 감소 +15%
SKILL_RIFT_TIME,4,1,COOLDOWN_REDUCTION,0.2,None,0,4레벨 쿨타임 감소 +20%
SKILL_RIFT_TIME,5,1,COOLDOWN_REDUCTION,0.3,None,0,5레벨 쿨타임 감소 +30%
SKILL_RIFT_TIME,6,1,COOLDOWN_REDUCTION,0.35,None,0,6레벨 쿨타임 감소 +35%
SKILL_RIFT_TIME,7,1,COOLDOWN_REDUCTION,0.4,None,0,7레벨 쿨타임 감소 +40%
SKILL_RIFT_TIME,8,1,COOLDOWN_REDUCTION,0.45,None,0,8레벨 쿨타임 감소 +45%
SKILL_RIFT_TIME,9,1,COOLDOWN_REDUCTION,0.5,None,0,9레벨 쿨타임 감소 +50%
SKILL_RIFT_TIME,10,2,COOLDOWN_REDUCTION,0.6,None,0,10레벨 쿨타임 감소 +60% (마스터)
SKILL_JUDGMENT_WEDGE,1,1,CRIT_DMG,0.05,None,0,1레벨 치명타 피해 +5%
SKILL_JUDGMENT_WEDGE,2,1,CRIT_DMG,0.1,None,0,2레벨 치명타 피해 +10%
SKILL_JUDGMENT_WEDGE,3,1,CRIT_DMG,0.15,None,0,3레벨 치명타 피해 +15%
SKILL_JUDGMENT_WEDGE,4,1,CRIT_DMG,0.2,None,0,4레벨 치명타 피해 +20%
SKILL_JUDGMENT_WEDGE,5,1,CRIT_DMG,0.3,None,0,5레벨 치명타 피해 +30%
SKILL_JUDGMENT_WEDGE,6,1,CRIT_DMG,0.35,None,0,6레벨 치명타 피해 +35%
SKILL_JUDGMENT_WEDGE,7,1,CRIT_DMG,0.4,None,0,7레벨 치명타 피해 +40%
SKILL_JUDGMENT_WEDGE,8,1,CRIT_DMG,0.45,None,0,8레벨 치명타 피해 +45%
SKILL_JUDGMENT_WEDGE,9,1,CRIT_DMG,0.5,None,0,9레벨 치명타 피해 +50%
SKILL_JUDGMENT_WEDGE,10,2,CRIT_DMG,0.6,None,0,10레벨 치명타 피해 +60% (마스터)
SKILL_SNIPER_MARK,1,1,DMG_MULT,1.3,COOLDOWN,8,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_SNIPER_MARK,2,1,DMG_MULT,1.5,COOLDOWN,7.6,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_SNIPER_MARK,3,1,DMG_MULT,1.7,COOLDOWN,7.3,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_SNIPER_MARK,4,1,DMG_MULT,1.9,COOLDOWN,7,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_SNIPER_MARK,5,1,DMG_MULT,2.2,COOLDOWN,6.6,5레벨 데미지 450% / 쿨타임 12.5초
SKILL_SNIPER_MARK,6,1,DMG_MULT,2.5,COOLDOWN,6.3,6레벨 데미지 500% / 쿨타임 12.0초
SKILL_SNIPER_MARK,7,1,DMG_MULT,2.8,COOLDOWN,6,7레벨 데미지 550% / 쿨타임 11.5초
SKILL_SNIPER_MARK,8,1,DMG_MULT,3.2,COOLDOWN,5.6,8레벨 데미지 600% / 쿨타임 11.0초
SKILL_SNIPER_MARK,9,1,DMG_MULT,3.6,COOLDOWN,5.3,9레벨 데미지 650% / 쿨타임 10.5초
SKILL_SNIPER_MARK,10,2,DMG_MULT,4,COOLDOWN,5,10레벨 데미지 700% / 쿨타임 10.0초 (마스터)
SKILL_INDOMITABLE_WILL,1,1,HP_FLAT,100,BLOCK_CHANCE,0.03,1레벨 최대체력 +100 / 차단확률 +3%
SKILL_INDOMITABLE_WILL,2,1,HP_FLAT,200,BLOCK_CHANCE,0.06,2레벨 최대체력 +200 / 차단확률 +6%
SKILL_INDOMITABLE_WILL,3,1,HP_FLAT,300,BLOCK_CHANCE,0.09,3레벨 최대체력 +300 / 차단확률 +9%
SKILL_INDOMITABLE_WILL,4,1,HP_FLAT,400,BLOCK_CHANCE,0.12,4레벨 최대체력 +400 / 차단확률 +12%
SKILL_INDOMITABLE_WILL,5,1,HP_FLAT,600,BLOCK_CHANCE,0.15,5레벨 최대체력 +600 / 차단확률 +15%
SKILL_INDOMITABLE_WILL,6,1,HP_FLAT,700,BLOCK_CHANCE,0.18,6레벨 최대체력 +700 / 차단확률 +18%
SKILL_INDOMITABLE_WILL,7,1,HP_FLAT,800,BLOCK_CHANCE,0.21,7레벨 최대체력 +800 / 차단확률 +21%
SKILL_INDOMITABLE_WILL,8,1,HP_FLAT,900,BLOCK_CHANCE,0.24,8레벨 최대체력 +900 / 차단확률 +24%
SKILL_INDOMITABLE_WILL,9,1,HP_FLAT,1000,BLOCK_CHANCE,0.27,9레벨 최대체력 +1000 / 차단확률 +27%
SKILL_INDOMITABLE_WILL,10,2,HP_FLAT,1200,BLOCK_CHANCE,0.3,10레벨 최대체력 +1200 / 차단확률 +30% (마스터)
SKILL_EXPLOSIVE_VAULT,1,1,DMG_MULT,1.2,COOLDOWN,6,1레벨 데미지 130% / 쿨타임 9.5초
SKILL_EXPLOSIVE_VAULT,2,1,DMG_MULT,1.4,COOLDOWN,5.6,2레벨 데미지 160% / 쿨타임 9.0초
SKILL_EXPLOSIVE_VAULT,3,1,DMG_MULT,1.6,COOLDOWN,5.3,3레벨 데미지 190% / 쿨타임 8.5초
SKILL_EXPLOSIVE_VAULT,4,1,DMG_MULT,1.8,COOLDOWN,5,4레벨 데미지 220% / 쿨타임 8.0초
SKILL_EXPLOSIVE_VAULT,5,1,DMG_MULT,2,COOLDOWN,4.6,5레벨 데미지 250% / 쿨타임 7.5초
SKILL_EXPLOSIVE_VAULT,6,1,DMG_MULT,2.2,COOLDOWN,4.3,6레벨 데미지 280% / 쿨타임 7.0초
SKILL_EXPLOSIVE_VAULT,7,1,DMG_MULT,2.4,COOLDOWN,4,7레벨 데미지 310% / 쿨타임 6.5초
SKILL_EXPLOSIVE_VAULT,8,1,DMG_MULT,2.7,COOLDOWN,3.6,8레벨 데미지 340% / 쿨타임 6.0초
SKILL_EXPLOSIVE_VAULT,9,1,DMG_MULT,3,COOLDOWN,3.3,9레벨 데미지 370% / 쿨타임 5.5초
SKILL_EXPLOSIVE_VAULT,10,2,DMG_MULT,3.3,COOLDOWN,3,10레벨 데미지 400% / 쿨타임 5.0초 (마스터)
SKILL_MACHINE_BREAKER,1,1,ATK_PERCENT,0.05,ARMOR_PENETRATION,0.05,1레벨 공격력 +5% / 방어구 관통 +5%
SKILL_MACHINE_BREAKER,2,1,ATK_PERCENT,0.1,ARMOR_PENETRATION,0.1,2레벨 공격력 +10% / 방어구 관통 +10%
SKILL_MACHINE_BREAKER,3,1,ATK_PERCENT,0.15,ARMOR_PENETRATION,0.15,3레벨 공격력 +15% / 방어구 관통 +15%
SKILL_MACHINE_BREAKER,4,1,ATK_PERCENT,0.2,ARMOR_PENETRATION,0.2,4레벨 공격력 +20% / 방어구 관통 +20%
SKILL_MACHINE_BREAKER,5,1,ATK_PERCENT,0.3,ARMOR_PENETRATION,0.3,5레벨 공격력 +30% / 방어구 관통 +30%
SKILL_MACHINE_BREAKER,6,1,ATK_PERCENT,0.35,ARMOR_PENETRATION,0.35,6레벨 공격력 +35% / 방어구 관통 +35%
SKILL_MACHINE_BREAKER,7,1,ATK_PERCENT,0.4,ARMOR_PENETRATION,0.4,7레벨 공격력 +40% / 방어구 관통 +40%
SKILL_MACHINE_BREAKER,8,1,ATK_PERCENT,0.45,ARMOR_PENETRATION,0.45,8레벨 공격력 +45% / 방어구 관통 +45%
SKILL_MACHINE_BREAKER,9,1,ATK_PERCENT,0.5,ARMOR_PENETRATION,0.5,9레벨 공격력 +50% / 방어구 관통 +50%
SKILL_MACHINE_BREAKER,10,2,ATK_PERCENT,0.6,ARMOR_PENETRATION,0.8,10레벨 공격력 +60% / 방어구 관통 +80%(캡) (마스터)
SKILL_SPIRITKINGS_ARROW,1,1,DMG_MULT,1.4,COOLDOWN,8,1레벨 데미지 250% / 쿨타임 14.5초
SKILL_SPIRITKINGS_ARROW,2,1,DMG_MULT,1.6,COOLDOWN,7.6,2레벨 데미지 300% / 쿨타임 14.0초
SKILL_SPIRITKINGS_ARROW,3,1,DMG_MULT,1.9,COOLDOWN,7.3,3레벨 데미지 350% / 쿨타임 13.5초
SKILL_SPIRITKINGS_ARROW,4,1,DMG_MULT,2.2,COOLDOWN,7,4레벨 데미지 400% / 쿨타임 13.0초
SKILL_SPIRITKINGS_ARROW,5,1,DMG_MULT,2.6,COOLDOWN,6.6,5레벨 데미지 450% / 쿨타임 12.5초
SKILL_SPIRITKINGS_ARROW,6,1,DMG_MULT,3,COOLDOWN,6.3,6레벨 데미지 500% / 쿨타임 12.0초
SKILL_SPIRITKINGS_ARROW,7,1,DMG_MULT,3.4,COOLDOWN,6,7레벨 데미지 550% / 쿨타임 11.5초
SKILL_SPIRITKINGS_ARROW,8,1,DMG_MULT,3.9,COOLDOWN,5.6,8레벨 데미지 600% / 쿨타임 11.0초
SKILL_SPIRITKINGS_ARROW,9,1,DMG_MULT,4.4,COOLDOWN,5.3,9레벨 데미지 650% / 쿨타임 10.5초
SKILL_SPIRITKINGS_ARROW,10,2,DMG_MULT,5,COOLDOWN,5,10레벨 데미지 700% / 쿨타임 10.0초 (마스터)
SKILL_WINDS_EDGE,1,1,ASPD,0.05,None,0,1레벨 공격속도 +5%
SKILL_WINDS_EDGE,2,1,ASPD,0.1,None,0,2레벨 공격속도 +10%
SKILL_WINDS_EDGE,3,1,ASPD,0.15,None,0,3레벨 공격속도 +15%
SKILL_WINDS_EDGE,4,1,ASPD,0.2,None,0,4레벨 공격속도 +20%
SKILL_WINDS_EDGE,5,1,ASPD,0.3,None,0,5레벨 공격속도 +30%
SKILL_WINDS_EDGE,6,1,ASPD,0.35,None,0,6레벨 공격속도 +35%
SKILL_WINDS_EDGE,7,1,ASPD,0.4,None,0,7레벨 공격속도 +40%
SKILL_WINDS_EDGE,8,1,ASPD,0.45,None,0,8레벨 공격속도 +45%
SKILL_WINDS_EDGE,9,1,ASPD,0.5,None,0,9레벨 공격속도 +50%
SKILL_WINDS_EDGE,10,2,ASPD,0.6,None,0,10레벨 공격속도 +60% (마스터)
SKILL_STEPS_LIGHT,1,1,MOVE_SPEED,0.05,None,0,1레벨 이동속도 +5%
SKILL_STEPS_LIGHT,2,1,MOVE_SPEED,0.1,None,0,2레벨 이동속도 +10%
SKILL_STEPS_LIGHT,3,1,MOVE_SPEED,0.15,None,0,3레벨 이동속도 +15%
SKILL_STEPS_LIGHT,4,1,MOVE_SPEED,0.2,None,0,4레벨 이동속도 +20%
SKILL_STEPS_LIGHT,5,1,MOVE_SPEED,0.3,None,0,5레벨 이동속도 +30%
SKILL_STEPS_LIGHT,6,1,MOVE_SPEED,0.35,None,0,6레벨 이동속도 +35%
SKILL_STEPS_LIGHT,7,1,MOVE_SPEED,0.4,None,0,7레벨 이동속도 +40%
SKILL_STEPS_LIGHT,8,1,MOVE_SPEED,0.45,None,0,8레벨 이동속도 +45%
SKILL_STEPS_LIGHT,9,1,MOVE_SPEED,0.5,None,0,9레벨 이동속도 +50%
SKILL_STEPS_LIGHT,10,2,MOVE_SPEED,0.6,None,0,10레벨 이동속도 +60% (마스터)
SKILL_MANA_CONCENTRATION,1,1,COOLDOWN_REDUCTION,0.1,None,0,1레벨 쿨타임 감소 +10%
SKILL_MANA_CONCENTRATION,2,1,COOLDOWN_REDUCTION,0.2,None,0,2레벨 쿨타임 감소 +20%
SKILL_MANA_CONCENTRATION,3,1,COOLDOWN_REDUCTION,0.3,None,0,3레벨 쿨타임 감소 +30%
SKILL_MANA_CONCENTRATION,4,1,COOLDOWN_REDUCTION,0.4,None,0,4레벨 쿨타임 감소 +40%
SKILL_MANA_CONCENTRATION,5,1,COOLDOWN_REDUCTION,0.6,None,0,5레벨 쿨타임 감소 +60%
SKILL_MANA_CONCENTRATION,6,1,COOLDOWN_REDUCTION,0.7,None,0,6레벨 쿨타임 감소 +70%
SKILL_MANA_CONCENTRATION,7,1,COOLDOWN_REDUCTION,0.8,None,0,7레벨 쿨타임 감소 +80%
SKILL_MANA_CONCENTRATION,8,1,COOLDOWN_REDUCTION,0.9,None,0,8레벨 쿨타임 감소 +90%
SKILL_MANA_CONCENTRATION,9,1,COOLDOWN_REDUCTION,1,None,0,9레벨 쿨타임 감소 +100%
SKILL_MANA_CONCENTRATION,10,2,COOLDOWN_REDUCTION,1.2,None,0,10레벨 쿨타임 감소 +120% (마스터)
SKILL_EXPLOSIVE_ARROW,1,1,DMG_MULT,1,None,0,1레벨 데미지 배율 100%
SKILL_EXPLOSIVE_ARROW,2,1,DMG_MULT,1.1,None,0,2레벨 데미지 배율 110%
SKILL_EXPLOSIVE_ARROW,3,1,DMG_MULT,1.2,None,0,3레벨 데미지 배율 120%
SKILL_EXPLOSIVE_ARROW,4,1,DMG_MULT,1.3,None,0,4레벨 데미지 배율 130%
SKILL_EXPLOSIVE_ARROW,5,1,DMG_MULT,1.4,None,0,5레벨 데미지 배율 140%
SKILL_EXPLOSIVE_ARROW,6,1,DMG_MULT,1.5,None,0,6레벨 데미지 배율 150%
SKILL_EXPLOSIVE_ARROW,7,1,DMG_MULT,1.6,None,0,7레벨 데미지 배율 160%
SKILL_EXPLOSIVE_ARROW,8,1,DMG_MULT,1.7,None,0,8레벨 데미지 배율 170%
SKILL_EXPLOSIVE_ARROW,9,1,DMG_MULT,1.8,None,0,9레벨 데미지 배율 180%
SKILL_EXPLOSIVE_ARROW,10,2,DMG_MULT,1.9,None,0,10레벨 데미지 배율 190% (마스터)
SKILL_DOUBLE_SHOT,1,1,PROJECTILE_COUNT,2,BURST_INTERVAL,1,1레벨 발사 수 2발 / 발사간격 1초
SKILL_DOUBLE_SHOT,2,1,PROJECTILE_COUNT,2,BURST_INTERVAL,0.95,2레벨 발사 수 2발 / 발사간격 0.9초
SKILL_DOUBLE_SHOT,3,1,PROJECTILE_COUNT,2,BURST_INTERVAL,0.9,3레벨 발사 수 2발 / 발사간격 0.8초
SKILL_DOUBLE_SHOT,4,1,PROJECTILE_COUNT,3,BURST_INTERVAL,0.85,4레벨 발사 수 3발 / 발사간격 0.7초
SKILL_DOUBLE_SHOT,5,1,PROJECTILE_COUNT,3,BURST_INTERVAL,0.8,5레벨 발사 수 3발 / 발사간격 0.6초
SKILL_DOUBLE_SHOT,6,1,PROJECTILE_COUNT,3,BURST_INTERVAL,0.75,6레벨 발사 수 3발 / 발사간격 0.5초
SKILL_DOUBLE_SHOT,7,1,PROJECTILE_COUNT,3,BURST_INTERVAL,0.7,7레벨 발사 수 3발 / 발사간격 0.4초
